0 | Ossa | Nikita | Day group | 53 | 629 | 75 | 352
423 | Meuler | Sonya | Day group | 56 | 549 | 975 | 577
424 | Bobr | Sonya | Day group | 44 | 240 | 391 | 872
425 | Pogrebnyak | Anastasia | Evening group | 29 | 112 | 404 | 746
426 | Fischer | Anastasia | Evening group | 54 | 625 | 326 | 476
427 | Chernych | Valentin | Day group | 26 | 239 | 249 | 353
428 | Rozental | Alexandr | Day group | 34 | 116 | 804 | 579
429 | Rozental | Alexey | Day group | 30 | 563 | 159 | 749
430 | Pogrebnyak | Sonya | Evening group | 5 | 355 | 899 | 753
431 | Erochevich | Marina | Day group | 34 | 750 | 299 | 985
432 | Erochevich | Valentin | Day group | 45 | 26 | 852 | 638
433 | Kornienko | Elena | Day group | 18 | 712 | 903 | 192
434 | Kot | Valentin | Evening group | 29 | 150 | 842 | 224
435 | Bobr | Maria | Day group | 27 | 743 | 923 | 327
436 | Erochevich | Maria | Evening group | 4 | 636 | 547 | 477
437 | Grechko | Vladislav | Evening group | 49 | 73 | 610 | 76
438 | Ossa | Artem | Evening group | 34 | 729 | 579 | 613
439 | Grechko | Achmed | Evening group | 22 | 654 | 91 | 708
440 | Rozental | Elena | Evening group | 45 | 656 | 166 | 761
441 | Pogrebnyak | Alexandr | Day group | 41 | 260 | 248 | 765
442 | Kornienko | Marina | Evening group | 56 | 648 | 619 | 72
443 | Kot | Achmed | Evening group | 7 | 689 | 396 | 684
444 | Grechko | Anastasia | Evening group | 31 | 73 | 779 | 571
445 | Grechko | Artem | Evening group | 53 | 953 | 610 | 821
446 | Ossa | Vladislav | Day group | 36 | 217 | 721 | 470
447 | Pogrebnyak | Vladislav | Evening group | 7 | 654 | 784 | 210
448 | Kot | Marina | Day group | 13 | 628 | 40 | 917
449 | Erochevich | Vladislav | Day group | 9 | 590 | 330 | 982
450 | Meuler | Alexey | Day group | 45 | 575 | 292 | 931
451 | Bobr | Alexey | Evening group | 7 | 738 | 420 | 950
452 | Pogrebnyak | Artem | Evening group | 38 | 317 | 966 | 921
453 | Meuler | Maria | Evening group | 43 | 295 | 273 | 116
454 | Fischer | Vladislav | Day group | 28 | 756 | 90 | 538
455 | Meye | Marina | Evening group | 51 | 713 | 645 | 398
456 | Kot | Sonya | Day group | 2 | 890 | 410 | 972
457 | Fischer | Vladislav | Day group | 2 | 256 | 121 | 301
458 | Erochevich | Achmed | Day group | 17 | 621 | 439 | 647
459 | Kot | Elena | Evening group | 40 | 588 | 587 | 193
460 | Ossa | Vladislav | Evening group | 28 | 620 | 436 | 821
461 | Fischer | Anastasia | Day group | 50 | 333 | 366 | 411
462 | Ossa | Marina | Day group | 35 | 37 | 82 | 410
463 | Ossa | Artem | Evening group | 29 | 688 | 805 | 463
464 | Meuler | Sonya | Day group | 5 | 634 | 920 | 989
465 | Meuler | Valentin | Evening group | 26 | 857 | 600 | 940
466 | Meuler | Elena | Day group | 30 | 787 | 727 | 754
467 | Kornienko | Maria | Evening group | 18 | 692 | 524 | 710
468 | Grechko | Alexandr | Day group | 38 | 720 | 323 | 697
469 | Bobr | Achmed | Evening group | 18 | 198 | 825 | 748
470 | Meye | Elena | Day group | 34 | 989 | 41 | 532
471 | Pogrebnyak | Achmed | Day group | 52 | 94 | 846 | 654
472 | Kot | Alexandr | Day group | 54 | 545 | 3 | 692
473 | Rozental | Achmed | Evening group | 8 | 12 | 239 | 332
474 | Erochevich | Alexey | Day group | 8 | 846 | 250 | 679
475 | Grechko | Nikita | Day group | 17 | 689 | 890 | 436
476 | Chernych | Artem | Evening group | 51 | 890 | 60 | 801
477 | Meuler | Alexey | Day group | 15 | 54 | 490 | 938
478 | Kornienko | Vladislav | Day group | 43 | 285 | 119 | 118
479 | Meuler | Vladislav | Evening group | 18 | 893 | 283 | 472
480 | Bobr | Alexey | Day group | 36 | 77 | 421 | 856
481 | Kot | Maria | Evening group | 54 | 648 | 395 | 279
482 | Pogrebnyak | Elena | Evening group | 52 | 429 | 684 | 803
483 | Pogrebnyak | Alexandr | Evening group | 15 | 382 | 183 | 893
484 | Rozental | Marina | Day group | 1 | 123 | 708 | 479
485 | Kornienko | Dmitriy | Day group | 22 | 753 | 90 | 523
486 | Rozental | Marina | Day group | 38 | 39 | 325 | 548
487 | Kornienko | Elena | Day group | 15 | 92 | 958 | 631
488 | Kornienko | Vladislav | Evening group | 53 | 622 | 682 | 714
489 | Meuler | Sonya | Day group | 25 | 680 | 948 | 939
490 | Grechko | Vladislav | Evening group | 32 | 609 | 427 | 850
491 | Ossa | Dmitriy | Evening group | 51 | 711 | 909 | 673
492 | Bobr | Elena | Day group | 47 | 603 | 697 | 158
493 | Fischer | Nikita | Evening group | 23 | 123 | 709 | 148
494 | Fischer | Alexey | Evening group | 7 | 6 | 807 | 532
495 | Chernych | Alexandr | Evening group | 10 | 881 | 306 | 547
496 | Pogrebnyak | Anastasia | Evening group | 38 | 647 | 494 | 140
497 | Erochevich | Achmed | Day group | 9 | 252 | 712 | 640
498 | Bobr | Sonya | Evening group | 42 | 468 | 174 | 854
499 | Erochevich | Anastasia | Evening group | 44 | 604 | 585 | 962
500 | Kornienko | Maria | Day group | 25 | 16 | 713 | 482
501 | Meuler | Achmed | Day group | 7 | 850 | 73 | 203
502 | Grechko | Nikita | Day group | 35 | 937 | 921 | 991
503 | Pogrebnyak | Maria | Day group | 24 | 657 | 92 | 581
504 | Kornienko | Oleg | Day group | 6 | 610 | 150 | 901
505 | Chernych | Vladislav | Day group | 42 | 829 | 26 | 93
506 | Chernych | Sonya | Day group | 26 | 721 | 463 | 561
507 | Bobr | Valentin | Day group | 6 | 658 | 895 | 442
508 | Grechko | Artem | Evening group | 49 | 660 | 264 | 667
509 | Meuler | Alexandr | Day group | 4 | 243 | 95 | 275
510 | Pogrebnyak | Oleg | Evening group | 42 | 54 | 367 | 113
511 | Erochevich | Valentin | Day group | 24 | 382 | 438 | 236
512 | Chernych | Artem | Evening group | 47 | 957 | 973 | 371
513 | Bobr | Elena | Evening group | 12 | 746 | 95 | 780
514 | Rozental | Dmitriy | Day group | 25 | 636 | 115 | 627
515 | Kornienko | Alexey | Day group | 28 | 27 | 310 | 31
516 | Meye | Dmitriy | Evening group | 8 | 146 | 55 | 9
517 | Grechko | Artem | Evening group | 22 | 804 | 168 | 235
518 | Rozental | Achmed | Evening group | 25 | 961 | 688 | 225
519 | Meuler | Dmitriy | Day group | 3 | 191 | 665 | 345
520 | Erochevich | Anastasia | Evening group | 45 | 892 | 468 | 930
521 | Grechko | Marina | Day group | 4 | 567 | 416 | 936
522 | Meye | Sonya | Day group | 34 | 685 | 478 | 411
523 | Fischer | Marina | Day group | 30 | 458 | 45 | 579
524 | Pogrebnyak | Valentin | Evening group | 14 | 610 | 236 | 866
525 | Erochevich | Dmitriy | Evening group | 47 | 330 | 764 | 988
526 | Fischer | Nikita | Evening group | 0 | 792 | 614 | 164
527 | Rozental | Achmed | Evening group | 17 | 173 | 840 | 555
528 | Bobr | Nikita | Day group | 4 | 509 | 302 | 643
529 | Erochevich | Anastasia | Evening group | 1 | 135 | 967 | 678
530 | Chernych | Nikita | Day group | 28 | 214 | 782 | 939
531 | Bobr | Sonya | Evening group | 53 | 864 | 550 | 117
532 | Bobr | Sonya | Evening group | 9 | 584 | 574 | 911
533 | Kot | Elena | Evening group | 16 | 739 | 271 | 181
534 | Kot | Sonya | Day group | 35 | 573 | 562 | 603
535 | Erochevich | Valentin | Day group | 1 | 970 | 153 | 872
536 | Kot | Dmitriy | Day group | 8 | 229 | 902 | 104
537 | Fischer | Oleg | Evening group | 47 | 816 | 400 | 268
538 | Meuler | Anastasia | Day group | 44 | 490 | 843 | 585
539 | Rozental | Maria | Evening group | 45 | 197 | 440 | 804
540 | Bobr | Elena | Evening group | 11 | 743 | 552 | 276
541 | Pogrebnyak | Nikita | Day group | 46 | 863 | 515 | 416
542 | Grechko | Anastasia | Evening group | 2 | 858 | 530 | 478
543 | Ossa | Alexandr | Day group | 50 | 103 | 476 | 566
544 | Meye | Anastasia | Evening group | 31 | 734 | 320 | 10
545 | Bobr | Alexandr | Day group | 50 | 704 | 608 | 912
546 | Kornienko | Elena | Day group | 29 | 923 | 199 | 748
547 | Meye | Nikita | Evening group | 9 | 869 | 921 | 580
548 | Erochevich | Alexandr | Day group | 38 | 688 | 545 | 532
549 | Ossa | Anastasia | Evening group | 14 | 467 | 563 | 615
550 | Erochevich | Maria | Day group | 26 | 729 | 474 | 167
551 | Meye | Dmitriy | Evening group | 7 | 913 | 712 | 104
552 | Kot | Anastasia | Evening group | 41 | 302 | 195 | 490
553 | Kot | Elena | Day group | 51 | 458 | 811 | 98
554 | Pogrebnyak | Sonya | Day group | 29 | 336 | 488 | 503
555 | Fischer | Sonya | Day group | 53 | 289 | 391 | 788
556 | Meuler | Alexandr | Day group | 10 | 172 | 755 | 395
557 | Pogrebnyak | Valentin | Day group | 46 | 314 | 125 | 593
558 | Kornienko | Anastasia | Day group | 47 | 325 | 862 | 91
559 | Kornienko | Elena | Evening group | 10 | 560 | 134 | 744
560 | Fischer | Sonya | Day group | 45 | 149 | 372 | 903
561 | Fischer | Maria | Day group | 30 | 716 | 950 | 112
562 | Meye | Anastasia | Day group | 26 | 943 | 422 | 585
563 | Meuler | Artem | Day group | 15 | 576 | 328 | 570
564 | Rozental | Dmitriy | Day group | 8 | 814 | 4 | 464
565 | Meye | Dmitriy | Evening group | 22 | 757 | 470 | 646
566 | Kot | Elena | Evening group | 14 | 612 | 716 | 172
567 | Chernych | Achmed | Evening group | 33 | 320 | 849 | 780
568 | Rozental | Achmed | Evening group | 24 | 802 | 403 | 318
569 | Rozental | Elena | Evening group | 39 | 34 | 127 | 515
570 | Chernych | Achmed | Day group | 2 | 991 | 552 | 660
571 | Meuler | Artem | Day group | 6 | 773 | 67 | 426
572 | Meye | Vladislav | Day group | 16 | 963 | 119 | 886
573 | Bobr | Artem | Evening group | 53 | 775 | 591 | 547
574 | Fischer | Alexandr | Evening group | 52 | 445 | 622 | 367
575 | Bobr | Sonya | Evening group | 15 | 226 | 534 | 166
576 | Fischer | Marina | Day group | 19 | 183 | 952 | 299
577 | Meuler | Achmed | Evening group | 46 | 626 | 325 | 50
578 | Chernych | Valentin | Day group | 4 | 85 | 582 | 700
579 | Erochevich | Nikita | Evening group | 32 | 83 | 375 | 355
580 | Pogrebnyak | Anastasia | Day group | 1 | 642 | 441 | 154
581 | Meuler | Anastasia | Day group | 31 | 882 | 388 | 735
582 | Chernych | Vladislav | Day group | 36 | 618 | 328 | 132
583 | Meuler | Achmed | Day group | 20 | 852 | 590 | 940
584 | Pogrebnyak | Elena | Day group | 56 | 895 | 176 | 643
585 | Kot | Elena | Evening group | 49 | 142 | 465 | 232
586 | Chernych | Alexey | Day group | 52 | 629 | 968 | 363
587 | Erochevich | Achmed | Day group | 23 | 612 | 389 | 525
588 | Meuler | Valentin | Day group | 8 | 316 | 751 | 756
589 | Meuler | Sonya | Day group | 20 | 225 | 603 | 947
590 | Fischer | Valentin | Evening group | 50 | 351 | 802 | 796
591 | Erochevich | Achmed | Evening group | 34 | 83 | 788 | 600
592 | Bobr | Dmitriy | Evening group | 5 | 836 | 885 | 626
593 | Pogrebnyak | Marina | Day group | 3 | 905 | 149 | 455
594 | Meye | Alexandr | Day group | 1 | 177 | 628 | 755
595 | Kornienko | Marina | Evening group | 3 | 289 | 990 | 720
596 | Chernych | Alexandr | Day group | 3 | 153 | 139 | 361
597 | Bobr | Anastasia | Day group | 22 | 209 | 17 | 517
598 | Kornienko | Sonya | Evening group | 4 | 787 | 105 | 517
599 | Kot | Anastasia | Evening group | 45 | 668 | 93 | 709
600 | Bobr | Valentin | Evening group | 6 | 171 | 643 | 554
601 | Bobr | Marina | Evening group | 12 | 232 | 71 | 473
602 | Rozental | Alexandr | Day group | 46 | 759 | 309 | 804
603 | Meye | Anastasia | Evening group | 27 | 602 | 894 | 251
604 | Chernych | Alexey | Day group | 41 | 327 | 19 | 739
605 | Pogrebnyak | Achmed | Day group | 5 | 71 | 164 | 605
606 | Chernych | Dmitriy | Day group | 52 | 769 | 502 | 173
607 | Kornienko | Artem | Evening group | 45 | 677 | 319 | 536
608 | Pogrebnyak | Sonya | Day group | 45 | 217 | 461 | 583
609 | Ossa | Marina | Day group | 41 | 113 | 923 | 166
610 | Erochevich | Achmed | Day group | 17 | 820 | 364 | 10
611 | Rozental | Nikita | Evening group | 51 | 28 | 556 | 511
612 | Rozental | Oleg | Evening group | 55 | 634 | 219 | 863
613 | Fischer | Marina | Evening group | 17 | 502 | 959 | 971
614 | Meye | Marina | Evening group | 45 | 552 | 769 | 703
615 | Meye | Nikita | Evening group | 19 | 45 | 165 | 483
616 | Erochevich | Valentin | Evening group | 24 | 233 | 118 | 519
617 | Grechko | Achmed | Day group | 6 | 950 | 639 | 888
618 | Grechko | Artem | Evening group | 12 | 431 | 462 | 29
619 | Kornienko | Dmitriy | Evening group | 11 | 25 | 989 | 620
620 | Meye | Sonya | Evening group | 17 | 671 | 931 | 947
621 | Kornienko | Artem | Evening group | 17 | 52 | 222 | 596
622 | Chernych | Artem | Evening group | 32 | 806 | 313 | 465
623 | Fischer | Sonya | Evening group | 27 | 172 | 346 | 992
624 | Bobr | Oleg | Evening group | 32 | 225 | 46 | 47
625 | Fischer | Oleg | Evening group | 50 | 855 | 32 | 51
626 | Kornienko | Sonya | Day group | 21 | 81 | 279 | 134
627 | Fischer | Vladislav | Evening group | 14 | 331 | 848 | 871
628 | Kot | Alexey | Evening group | 28 | 433 | 880 | 137
629 | Rozental | Marina | Evening group | 32 | 220 | 531 | 322
630 | Pogrebnyak | Alexey | Evening group | 52 | 438 | 546 | 796
631 | Fischer | Nikita | Evening group | 31 | 475 | 894 | 786
632 | Meye | Artem | Day group | 56 | 76 | 534 | 757
633 | Pogrebnyak | Vladislav | Day group | 20 | 264 | 650 | 331
634 | Rozental | Alexandr | Evening group | 41 | 630 | 645 | 202
635 | Chernych | Sonya | Evening group | 37 | 752 | 99 | 996
636 | Bobr | Alexandr | Evening group | 55 | 160 | 7 | 922
637 | Meye | Artem | Day group | 1 | 173 | 88 | 91
638 | Pogrebnyak | Maria | Day group | 45 | 123 | 887 | 512
639 | Meye | Artem | Day group | 41 | 751 | 46 | 859
640 | Bobr | Alexandr | Evening group | 6 | 745 | 465 | 13
641 | Ossa | Alexandr | Evening group | 56 | 143 | 606 | 284
642 | Fischer | Sonya | Evening group | 50 | 668 | 129 | 531
643 | Erochevich | Nikita | Day group | 46 | 300 | 218 | 983
644 | Meuler | Elena | Evening group | 39 | 966 | 457 | 31
645 | Rozental | Artem | Day group | 9 | 860 | 900 | 791
646 | Erochevich | Oleg | Evening group | 3 | 238 | 897 | 498
647 | Meuler | Vladislav | Day group | 39 | 865 | 142 | 823
648 | Meuler | Alexey | Day group | 16 | 647 | 880 | 898
649 | Kot | Achmed | Day group | 28 | 100 | 616 | 277
650 | Bobr | Anastasia | Evening group | 40 | 58 | 309 | 602
651 | Kornienko | Vladislav | Evening group | 17 | 702 | 674 | 361
652 | Meye | Sonya | Evening group | 22 | 982 | 753 | 909
653 | Erochevich | Oleg | Evening group | 11 | 233 | 653 | 122
654 | Grechko | Marina | Day group | 22 | 206 | 132 | 397
655 | Erochevich | Valentin | Day group | 25 | 378 | 535 | 769
656 | Kot | Oleg | Evening group | 18 | 893 | 125 | 399
657 | Chernych | Elena | Evening group | 56 | 920 | 480 | 717
658 | Kornienko | Elena | Day group | 45 | 387 | 982 | 549
659 | Kot | Elena | Evening group | 26 | 963 | 987 | 686
660 | Meuler | Alexey | Day group | 55 | 59 | 716 | 889
661 | Grechko | Valentin | Evening group | 41 | 902 | 235 | 422
662 | Kot | Vladislav | Evening group | 6 | 12 | 939 | 962
663 | Fischer | Dmitriy | Evening group | 52 | 807 | 339 | 625
664 | Chernych | Elena | Evening group | 19 | 879 | 624 | 870
665 | Fischer | Artem | Day group | 40 | 470 | 248 | 457
666 | Bobr | Artem | Day group | 24 | 980 | 912 | 931
667 | Fischer | Oleg | Evening group | 48 | 602 | 17 | 835
668 | Fischer | Vladislav | Evening group | 28 | 870 | 292 | 126
669 | Pogrebnyak | Alexandr | Evening group | 41 | 278 | 347 | 998
670 | Bobr | Artem | Day group | 15 | 688 | 848 | 541
671 | Rozental | Artem | Evening group | 37 | 989 | 480 | 98
672 | Kot | Oleg | Day group | 52 | 967 | 526 | 302
673 | Rozental | Elena | Day group | 6 | 525 | 766 | 675
674 | Kornienko | Nikita | Evening group | 30 | 8 | 758 | 385
675 | Chernych | Sonya | Day group | 42 | 389 | 175 | 385
676 | Erochevich | Alexey | Evening group | 25 | 786 | 688 | 223
677 | Kot | Marina | Day group | 12 | 247 | 480 | 760
678 | Bobr | Sonya | Day group | 14 | 298 | 502 | 174
679 | Ossa | Maria | Day group | 23 | 83 | 968 | 667
680 | Meuler | Valentin | Evening group | 50 | 32 | 739 | 535
681 | Grechko | Artem | Evening group | 10 | 828 | 658 | 3
682 | Erochevich | Achmed | Day group | 2 | 352 | 838 | 577
683 | Chernych | Vladislav | Evening group | 11 | 99 | 453 | 133
684 | Bobr | Vladislav | Day group | 16 | 92 | 903 | 695
685 | Erochevich | Valentin | Evening group | 11 | 887 | 432 | 618
686 | Fischer | Nikita | Day group | 43 | 795 | 224 | 324
687 | Kot | Artem | Evening group | 45 | 635 | 803 | 356
688 | Kornienko | Elena | Day group | 19 | 490 | 355 | 455
689 | Rozental | Valentin | Day group | 21 | 193 | 79 | 878
690 | Pogrebnyak | Dmitriy | Evening group | 43 | 802 | 535 | 307
691 | Erochevich | Sonya | Evening group | 16 | 347 | 860 | 307
692 | Grechko | Sonya | Day group | 32 | 275 | 353 | 163
693 | Chernych | Vladislav | Day group | 49 | 728 | 988 | 105
694 | Bobr | Oleg | Evening group | 37 | 870 | 917 | 467
695 | Meuler | Valentin | Evening group | 15 | 985 | 109 | 785
696 | Kot | Valentin | Evening group | 47 | 639 | 575 | 425
697 | Kot | Vladislav | Evening group | 13 | 169 | 643 | 224
698 | Pogrebnyak | Alexey | Evening group | 41 | 572 | 362 | 594
699 | Pogrebnyak | Maria | Day group | 3 | 7 | 959 | 901
700 | Chernych | Nikita | Day group | 26 | 380 | 140 | 0
701 | Grechko | Valentin | Day group | 35 | 205 | 570 | 821
702 | Kornienko | Alexey | Day group | 27 | 106 | 645 | 789
703 | Chernych | Artem | Evening group | 35 | 305 | 812 | 563
704 | Chernych | Oleg | Evening group | 51 | 621 | 770 | 555
705 | Ossa | Alexandr | Evening group | 7 | 197 | 920 | 325
706 | Meye | Dmitriy | Evening group | 34 | 383 | 774 | 707
707 | Grechko | Sonya | Evening group | 19 | 138 | 768 | 906
708 | Fischer | Artem | Day group | 7 | 959 | 746 | 941
709 | Rozental | Valentin | Day group | 36 | 347 | 261 | 409
710 | Rozental | Vladislav | Day group | 22 | 638 | 97 | 993
711 | Fischer | Oleg | Day group | 22 | 783 | 726 | 50
712 | Pogrebnyak | Oleg | Day group | 34 | 915 | 536 | 733
713 | Pogrebnyak | Alexey | Evening group | 2 | 394 | 358 | 77
714 | Kornienko | Anastasia | Evening group | 9 | 971 | 473 | 230
715 | Chernych | Nikita | Evening group | 45 | 350 | 402 | 813
716 | Bobr | Anastasia | Evening group | 22 | 504 | 446 | 709
717 | Bobr | Oleg | Day group | 19 | 497 | 213 | 486
718 | Kot | Vladislav | Evening group | 0 | 362 | 568 | 162
719 | Rozental | Alexandr | Day group | 13 | 807 | 515 | 7
720 | Meuler | Valentin | Evening group | 22 | 42 | 189 | 309
721 | Meuler | Marina | Day group | 5 | 247 | 923 | 875
722 | Rozental | Anastasia | Evening group | 9 | 130 | 745 | 673
723 | Pogrebnyak | Anastasia | Day group | 24 | 907 | 22 | 196
724 | Grechko | Marina | Evening group | 9 | 617 | 949 | 522
725 | Kot | Dmitriy | Evening group | 12 | 177 | 778 | 57
726 | Grechko | Anastasia | Evening group | 29 | 738 | 310 | 326
727 | Meuler | Dmitriy | Day group | 15 | 713 | 800 | 843
728 | Rozental | Achmed | Evening group | 20 | 703 | 128 | 818
729 | Meye | Dmitriy | Evening group | 36 | 323 | 998 | 738
730 | Meye | Marina | Day group | 10 | 34 | 359 | 675
731 | Grechko | Maria | Evening group | 17 | 649 | 87 | 352
732 | Pogrebnyak | Elena | Day group | 32 | 119 | 78 | 758
733 | Erochevich | Alexandr | Day group | 32 | 650 | 186 | 35
734 | Grechko | Oleg | Evening group | 27 | 162 | 205 | 762
735 | Meye | Nikita | Day group | 37 | 104 | 891 | 139
736 | Meye | Marina | Evening group | 46 | 967 | 692 | 430
737 | Fischer | Maria | Day group | 1 | 791 | 46 | 106
738 | Rozental | Nikita | Evening group | 43 | 116 | 648 | 821
739 | Kot | Achmed | Day group | 43 | 150 | 902 | 479
740 | Meye | Nikita | Evening group | 37 | 859 | 252 | 28
741 | Kot | Marina | Evening group | 25 | 272 | 604 | 678
742 | Erochevich | Alexandr | Day group | 17 | 289 | 962 | 165
743 | Erochevich | Nikita | Day group | 24 | 7 | 198 | 956
744 | Chernych | Nikita | Evening group | 38 | 775 | 259 | 428
745 | Rozental | Achmed | Evening group | 34 | 258 | 769 | 990
746 | Chernych | Elena | Day group | 29 | 673 | 497 | 402
747 | Meye | Marina | Day group | 52 | 932 | 632 | 865
748 | Chernych | Elena | Day group | 27 | 700 | 474 | 323
749 | Kot | Alexey | Day group | 41 | 331 | 28 | 60
750 | Kornienko | Dmitriy | Day group | 12 | 756 | 321 | 131
751 | Ossa | Artem | Day group | 42 | 167 | 995 | 504
752 | Erochevich | Maria | Evening group | 11 | 107 | 201 | 189
753 | Meye | Anastasia | Day group | 34 | 276 | 700 | 464
754 | Kornienko | Anastasia | Evening group | 35 | 775 | 503 | 380
755 | Meye | Oleg | Day group | 27 | 717 | 94 | 665
756 | Ossa | Alexandr | Evening group | 55 | 607 | 487 | 158
757 | Pogrebnyak | Valentin | Evening group | 31 | 536 | 527 | 926
758 | Pogrebnyak | Sonya | Day group | 27 | 667 | 357 | 286
759 | Pogrebnyak | Marina | Evening group | 44 | 119 | 763 | 238
760 | Meuler | Artem | Evening group | 54 | 549 | 524 | 223
761 | Erochevich | Oleg | Day group | 1 | 845 | 315 | 40
762 | Kot | Valentin | Evening group | 17 | 220 | 653 | 249
763 | Grechko | Achmed | Evening group | 42 | 267 | 879 | 821
764 | Pogrebnyak | Alexey | Day group | 7 | 338 | 227 | 398
765 | Fischer | Sonya | Day group | 41 | 712 | 552 | 744
766 | Pogrebnyak | Artem | Day group | 54 | 416 | 836 | 91
767 | Kot | Alexey | Evening group | 24 | 585 | 673 | 987
768 | Pogrebnyak | Alexandr | Day group | 14 | 228 | 298 | 667
769 | Ossa | Artem | Day group | 10 | 417 | 213 | 3
770 | Meuler | Sonya | Day group | 17 | 189 | 13 | 947
771 | Meye | Oleg | Evening group | 39 | 774 | 713 | 617
772 | Meuler | Artem | Day group | 34 | 194 | 681 | 713
773 | Kornienko | Alexandr | Evening group | 7 | 66 | 1 | 573
774 | Rozental | Alexey | Evening group | 51 | 607 | 682 | 882
775 | Rozental | Alexey | Evening group | 22 | 898 | 721 | 805
776 | Kot | Anastasia | Evening group | 46 | 36 | 42 | 234
777 | Pogrebnyak | Dmitriy | Day group | 23 | 489 | 621 | 150
778 | Ossa | Valentin | Day group | 42 | 241 | 748 | 314
779 | Grechko | Artem | Evening group | 53 | 846 | 978 | 979
780 | Meuler | Nikita | Day group | 39 | 676 | 540 | 105
781 | Meuler | Alexey | Day group | 17 | 112 | 420 | 436
782 | Bobr | Vladislav | Day group | 48 | 996 | 241 | 829
783 | Fischer | Alexandr | Evening group | 50 | 955 | 618 | 901
784 | Chernych | Anastasia | Evening group | 51 | 760 | 13 | 184
785 | Erochevich | Anastasia | Day group | 41 | 582 | 246 | 434
786 | Meuler | Artem | Evening group | 0 | 389 | 821 | 323
787 | Meuler | Vladislav | Day group | 17 | 553 | 142 | 358
788 | Grechko | Elena | Day group | 43 | 373 | 708 | 407
789 | Meuler | Maria | Day group | 34 | 514 | 57 | 472
790 | Bobr | Alexey | Evening group | 12 | 52 | 403 | 181
791 | Bobr | Sonya | Day group | 24 | 555 | 446 | 60
792 | Chernych | Anastasia | Evening group | 35 | 700 | 310 | 844
793 | Kot | Marina | Evening group | 55 | 422 | 12 | 960
794 | Pogrebnyak | Sonya | Evening group | 22 | 846 | 273 | 500
795 | Kornienko | Nikita | Evening group | 43 | 854 | 219 | 715
796 | Kornienko | Sonya | Day group | 23 | 410 | 706 | 576
797 | Erochevich | Valentin | Evening group | 21 | 606 | 566 | 294
798 | Kornienko | Nikita | Evening group | 22 | 303 | 682 | 141
799 | Kornienko | Valentin | Evening group | 17 | 668 | 550 | 63
800 | Meye | Achmed | Evening group | 13 | 359 | 393 | 535
801 | Ossa | Alexey | Evening group | 10 | 187 | 145 | 888
802 | Grechko | Marina | Day group | 39 | 703 | 191 | 850
803 | Rozental | Valentin | Day group | 35 | 398 | 993 | 260
804 | Kot | Dmitriy | Evening group | 6 | 590 | 801 | 630
805 | Kornienko | Elena | Day group | 36 | 431 | 496 | 907
806 | Kornienko | Sonya | Evening group | 42 | 140 | 860 | 923
807 | Chernych | Achmed | Evening group | 3 | 241 | 906 | 763
808 | Kornienko | Vladislav | Evening group | 20 | 785 | 573 | 875
809 | Chernych | Dmitriy | Day group | 26 | 309 | 643 | 847
810 | Erochevich | Achmed | Day group | 45 | 887 | 336 | 596
811 | Grechko | Valentin | Day group | 48 | 898 | 34 | 942
812 | Rozental | Alexey | Evening group | 13 | 189 | 125 | 406
813 | Erochevich | Achmed | Evening group | 31 | 781 | 843 | 646
814 | Bobr | Anastasia | Evening group | 51 | 122 | 811 | 453
815 | Bobr | Oleg | Evening group | 52 | 626 | 391 | 355
816 | Pogrebnyak | Artem | Evening group | 25 | 913 | 436 | 86
817 | Rozental | Alexey | Day group | 14 | 992 | 874 | 947
818 | Meuler | Elena | Day group | 31 | 741 | 284 | 457
819 | Kot | Anastasia | Day group | 45 | 449 | 961 | 653
820 | Rozental | Achmed | Evening group | 29 | 264 | 274 | 393
821 | Meye | Valentin | Evening group | 53 | 62 | 11 | 216
822 | Chernych | Oleg | Day group | 23 | 64 | 986 | 369
823 | Grechko | Oleg | Evening group | 30 | 576 | 730 | 195
824 | Rozental | Artem | Evening group | 15 | 12 | 895 | 382
825 | Grechko | Maria | Day group | 54 | 97 | 538 | 91
826 | Erochevich | Vladislav | Day group | 23 | 935 | 244 | 124
827 | Grechko | Dmitriy | Evening group | 47 | 556 | 717 | 258
828 | Erochevich | Dmitriy | Day group | 26 | 813 | 278 | 340
829 | Meye | Oleg | Evening group | 29 | 436 | 202 | 630
830 | Rozental | Vladislav | Evening group | 2 | 67 | 575 | 765
831 | Rozental | Dmitriy | Day group | 1 | 139 | 462 | 348
832 | Rozental | Nikita | Evening group | 1 | 131 | 880 | 622
833 | Grechko | Elena | Day group | 41 | 365 | 612 | 365
834 | Chernych | Elena | Evening group | 47 | 879 | 527 | 337
835 | Meye | Vladislav | Day group | 28 | 694 | 888 | 921
836 | Kot | Vladislav | Day group | 19 | 910 | 895 | 322
837 | Kornienko | Dmitriy | Day group | 7 | 865 | 367 | 784
838 | Rozental | Vladislav | Evening group | 54 | 413 | 284 | 296
839 | Kot | Maria | Day group | 32 | 725 | 103 | 417
840 | Meye | Valentin | Day group | 40 | 144 | 296 | 557
841 | Kot | Achmed | Day group | 29 | 677 | 865 | 247
842 | Grechko | Nikita | Evening group | 41 | 32 | 274 | 211
843 | Kot | Sonya | Day group | 19 | 639 | 171 | 844
844 | Kornienko | Anastasia | Day group | 44 | 818 | 622 | 44
845 | Rozental | Achmed | Evening group | 5 | 874 | 469 | 797
