0 | Kornienko | Elena | 35 | 14 
646 | Meye | Achmed | 5 | 4 
647 | Kornienko | Vladislav | 28 | 18 
648 | Bobr | Nikita | 21 | 4 
649 | Meuler | Artem | 40 | 25 
650 | Pogrebnyak | Valentin | 35 | 30 
651 | Ossa | Ekaterina | 41 | 31 
652 | Meye | Achmed | 50 | 24 
653 | Kot | Oleg | 41 | 9 
654 | Meuler | Vladislav | 44 | 25 
655 | Kornienko | Avetis | 13 | 5 
656 | Meuler | Alexandr | 17 | 17 
657 | Kornienko | Sonya | 4 | 4 
658 | Grechko | Elena | 42 | 31 
659 | Bobr | Dmitriy | 20 | 8 
660 | Kot | Alexandr | 43 | 16 
661 | Meye | Artem | 36 | 17 
662 | Bobr | Artem | 41 | 22 
663 | Kornienko | Elena | 49 | 28 
664 | Pogrebnyak | Nikita | 15 | 14 
665 | Erochevich | Avetis | 39 | 7 
666 | Meuler | Nikita | 17 | 6 
667 | Grechko | Avetis | 34 | 13 
668 | Kot | Dmitriy | 9 | 5 
669 | Grechko | Achmed | 23 | 11 
670 | Bobr | Alexandr | 31 | 17 
671 | Erochevich | Avetis | 36 | 28 
672 | Meuler | Vladislav | 18 | 6 
673 | Grechko | Achmed | 49 | 34 
674 | Kot | Artem | 29 | 6 
675 | Meuler | Nikita | 13 | 9 
676 | Fischer | Valentin | 43 | 42 
677 | Erochevich | Elena | 10 | 3 
678 | Kornienko | Vladislav | 7 | 7 
679 | Meuler | Avetis | 5 | 5 
680 | Fischer | Avetis | 49 | 44 
681 | Pogrebnyak | Alexey | 22 | 3 
682 | Chernych | Nikita | 30 | 28 
683 | Chernych | Dmitriy | 25 | 21 
684 | Grechko | Dmitriy | 8 | 8 
685 | Ossa | Avetis | 49 | 4 
686 | Ossa | Vladislav | 16 | 12 
687 | Rozental | Elena | 48 | 36 
688 | Kot | Alexandr | 27 | 13 
689 | Chernych | Oleg | 26 | 23 
690 | Fischer | Artem | 34 | 11 
691 | Grechko | Alexey | 32 | 21 
692 | Rozental | Vladislav | 19 | 15 
693 | Grechko | Achmed | 5 | 3 
694 | Fischer | Oleg | 24 | 9 
695 | Bobr | Nikita | 9 | 9 
696 | Meuler | Nikita | 36 | 23 
697 | Meye | Valentin | 7 | 7 
698 | Grechko | Alexandr | 25 | 13 
699 | Kot | Elena | 25 | 9 
700 | Rozental | Avetis | 13 | 11 
701 | Grechko | Achmed | 29 | 28 
702 | Grechko | Elena | 43 | 36 
703 | Ossa | Sonya | 9 | 5 
704 | Kot | Vladislav | 16 | 3 
705 | Rozental | Alexey | 9 | 6 
706 | Chernych | Nikita | 6 | 3 
707 | Kornienko | Ekaterina | 19 | 12 
708 | Chernych | Valentin | 21 | 10 
709 | Meye | Achmed | 20 | 5 
710 | Erochevich | Artem | 25 | 24 
711 | Fischer | Sonya | 20 | 3 
712 | Chernych | Alexey | 6 | 3 
713 | Kornienko | Elena | 9 | 6 
714 | Bobr | Dmitriy | 17 | 11 
715 | Rozental | Valentin | 10 | 5 
716 | Pogrebnyak | Achmed | 45 | 24 
717 | Meye | Alexey | 19 | 11 
718 | Fischer | Valentin | 39 | 36 
719 | Ossa | Valentin | 45 | 31 
720 | Rozental | Ekaterina | 18 | 13 
721 | Kornienko | Oleg | 15 | 14 
722 | Meuler | Elena | 49 | 25 
723 | Rozental | Dmitriy | 7 | 5 
724 | Fischer | Achmed | 50 | 11 
725 | Meye | Avetis | 8 | 8 
726 | Erochevich | Alexandr | 7 | 6 
727 | Fischer | Alexandr | 14 | 10 
728 | Kot | Avetis | 20 | 7 
729 | Meuler | Avetis | 18 | 18 
730 | Grechko | Vladislav | 5 | 4 
731 | Pogrebnyak | Alexandr | 3 | 3 
732 | Bobr | Artem | 29 | 5 
733 | Chernych | Achmed | 49 | 48 
734 | Grechko | Sonya | 30 | 15 
735 | Rozental | Sonya | 47 | 22 
736 | Ossa | Oleg | 39 | 6 
737 | Fischer | Nikita | 49 | 46 
738 | Erochevich | Sonya | 10 | 6 
739 | Meuler | Avetis | 36 | 29 
740 | Rozental | Sonya | 13 | 7 
741 | Kornienko | Achmed | 29 | 24 
742 | Kornienko | Alexey | 28 | 24 
743 | Erochevich | Achmed | 49 | 40 
744 | Fischer | Artem | 17 | 11 
745 | Chernych | Dmitriy | 40 | 33 
746 | Grechko | Ekaterina | 32 | 4 
747 | Fischer | Artem | 28 | 12 
748 | Meuler | Elena | 19 | 10 
749 | Meye | Sonya | 34 | 21 
750 | Pogrebnyak | Achmed | 13 | 5 
751 | Rozental | Ekaterina | 40 | 34 
752 | Meye | Alexey | 35 | 14 
753 | Kot | Sonya | 49 | 19 
754 | Ossa | Vladislav | 26 | 7 
755 | Ossa | Dmitriy | 20 | 10 
756 | Chernych | Alexey | 6 | 5 
757 | Pogrebnyak | Oleg | 25 | 18 
758 | Ossa | Vladislav | 27 | 21 
759 | Ossa | Ekaterina | 3 | 3 
760 | Pogrebnyak | Dmitriy | 50 | 23 
761 | Ossa | Sonya | 12 | 12 
762 | Grechko | Elena | 32 | 18 
763 | Erochevich | Artem | 8 | 6 
764 | Meye | Nikita | 49 | 37 
765 | Erochevich | Alexey | 42 | 32 
766 | Meye | Achmed | 43 | 9 
767 | Pogrebnyak | Valentin | 3 | 3 
768 | Kornienko | Valentin | 5 | 3 
769 | Meuler | Nikita | 38 | 6 
770 | Bobr | Achmed | 42 | 38 
771 | Bobr | Vladislav | 49 | 48 
772 | Fischer | Sonya | 25 | 13 
773 | Meye | Alexey | 28 | 7 
774 | Meye | Alexey | 8 | 7 
775 | Kornienko | Dmitriy | 18 | 8 
776 | Pogrebnyak | Vladislav | 6 | 6 
777 | Chernych | Dmitriy | 6 | 4 
778 | Meye | Ekaterina | 3 | 3 
779 | Kornienko | Dmitriy | 24 | 3 
780 | Kot | Vladislav | 20 | 4 
781 | Meuler | Nikita | 28 | 7 
782 | Fischer | Valentin | 32 | 31 
783 | Bobr | Achmed | 24 | 15 
784 | Meuler | Achmed | 30 | 5 
785 | Kornienko | Alexandr | 37 | 28 
786 | Pogrebnyak | Elena | 6 | 6 
787 | Meuler | Oleg | 10 | 3 
788 | Ossa | Vladislav | 44 | 25 
789 | Pogrebnyak | Vladislav | 50 | 9 
790 | Grechko | Sonya | 8 | 5 
791 | Rozental | Artem | 45 | 32 
792 | Kot | Valentin | 11 | 10 
793 | Meuler | Dmitriy | 27 | 15 
794 | Bobr | Sonya | 36 | 24 
795 | Meye | Vladislav | 15 | 9 
796 | Rozental | Dmitriy | 29 | 22 
797 | Kornienko | Achmed | 40 | 3 
798 | Meye | Alexandr | 19 | 13 
799 | Meuler | Vladislav | 40 | 22 
800 | Pogrebnyak | Oleg | 22 | 11 
801 | Kot | Sonya | 27 | 5 
802 | Grechko | Valentin | 10 | 4 
803 | Chernych | Alexey | 12 | 11 
804 | Kornienko | Alexandr | 7 | 7 
805 | Rozental | Ekaterina | 16 | 9 
806 | Ossa | Alexandr | 38 | 20 
807 | Chernych | Dmitriy | 46 | 21 
808 | Fischer | Valentin | 11 | 5 
809 | Grechko | Dmitriy | 29 | 23 
810 | Ossa | Valentin | 23 | 14 
811 | Chernych | Valentin | 15 | 10 
812 | Erochevich | Oleg | 14 | 7 
813 | Meuler | Artem | 24 | 22 
814 | Bobr | Valentin | 8 | 4 
815 | Fischer | Valentin | 21 | 7 
816 | Meuler | Alexandr | 42 | 14 
817 | Fischer | Oleg | 10 | 3 
818 | Meye | Elena | 15 | 9 
819 | Bobr | Oleg | 3 | 3 
820 | Meuler | Achmed | 25 | 11 
821 | Grechko | Achmed | 37 | 4 
822 | Bobr | Dmitriy | 45 | 27 
823 | Erochevich | Dmitriy | 32 | 29 
824 | Kornienko | Alexandr | 15 | 12 
825 | Bobr | Alexandr | 48 | 36 
826 | Erochevich | Oleg | 34 | 19 
827 | Grechko | Achmed | 42 | 4 
828 | Kornienko | Oleg | 41 | 20 
829 | Ossa | Vladislav | 13 | 5 
830 | Chernych | Alexandr | 12 | 7 
831 | Chernych | Alexandr | 28 | 4 
832 | Meye | Oleg | 31 | 11 
833 | Rozental | Oleg | 25 | 13 
834 | Rozental | Nikita | 15 | 7 
835 | Meye | Artem | 38 | 30 
836 | Bobr | Sonya | 40 | 7 
837 | Kornienko | Artem | 26 | 4 
838 | Meye | Achmed | 22 | 9 
839 | Meye | Dmitriy | 50 | 19 
840 | Grechko | Achmed | 42 | 6 
841 | Rozental | Oleg | 28 | 15 
842 | Fischer | Avetis | 7 | 6 
843 | Erochevich | Sonya | 27 | 7 
844 | Rozental | Vladislav | 10 | 10 
845 | Ossa | Artem | 47 | 18 
846 | Chernych | Nikita | 43 | 41 
847 | Kornienko | Oleg | 49 | 20 
848 | Chernych | Oleg | 32 | 12 
849 | Grechko | Alexey | 40 | 33 
850 | Kot | Artem | 7 | 5 
851 | Chernych | Achmed | 43 | 37 
852 | Meye | Nikita | 35 | 22 
853 | Rozental | Oleg | 18 | 7 
854 | Bobr | Achmed | 18 | 4 
855 | Meye | Oleg | 33 | 12 
856 | Pogrebnyak | Oleg | 3 | 3 
857 | Grechko | Alexandr | 28 | 19 
858 | Kornienko | Elena | 20 | 5 
859 | Erochevich | Avetis | 31 | 22 
860 | Bobr | Avetis | 14 | 9 
861 | Pogrebnyak | Achmed | 48 | 23 
862 | Pogrebnyak | Dmitriy | 11 | 11 
863 | Chernych | Dmitriy | 47 | 45 
864 | Bobr | Avetis | 20 | 16 
865 | Meye | Valentin | 15 | 10 
866 | Rozental | Alexey | 41 | 31 
867 | Ossa | Achmed | 43 | 3 
868 | Grechko | Oleg | 31 | 25 
869 | Chernych | Alexey | 9 | 9 
870 | Meye | Alexey | 23 | 23 
871 | Kornienko | Vladislav | 36 | 21 
872 | Meye | Alexandr | 39 | 19 
873 | Meye | Avetis | 42 | 16 
874 | Kot | Dmitriy | 32 | 11 
875 | Ossa | Ekaterina | 26 | 21 
876 | Chernych | Vladislav | 36 | 31 
877 | Rozental | Avetis | 16 | 16 
878 | Erochevich | Alexandr | 9 | 4 
879 | Meye | Oleg | 35 | 7 
880 | Kornienko | Achmed | 49 | 4 
881 | Meuler | Ekaterina | 16 | 3 
882 | Fischer | Vladislav | 41 | 17 
883 | Grechko | Alexey | 10 | 9 
884 | Grechko | Vladislav | 3 | 3 
885 | Grechko | Avetis | 18 | 14 
886 | Meye | Elena | 44 | 29 
887 | Meye | Avetis | 43 | 43 
888 | Chernych | Vladislav | 50 | 21 
889 | Erochevich | Valentin | 38 | 23 
890 | Chernych | Ekaterina | 42 | 19 
891 | Bobr | Nikita | 44 | 18 
892 | Ossa | Valentin | 45 | 19 
893 | Meuler | Avetis | 37 | 28 
894 | Meuler | Alexandr | 47 | 33 
895 | Chernych | Valentin | 41 | 23 
896 | Grechko | Dmitriy | 17 | 9 
897 | Pogrebnyak | Sonya | 28 | 7 
898 | Fischer | Oleg | 49 | 27 
899 | Rozental | Dmitriy | 27 | 20 
900 | Rozental | Vladislav | 45 | 30 
901 | Grechko | Nikita | 18 | 3 
902 | Pogrebnyak | Artem | 21 | 20 
903 | Erochevich | Achmed | 38 | 30 
904 | Chernych | Alexandr | 37 | 31 
905 | Kornienko | Achmed | 20 | 16 
906 | Kot | Vladislav | 20 | 18 
907 | Bobr | Vladislav | 35 | 25 
908 | Pogrebnyak | Sonya | 29 | 16 
909 | Grechko | Sonya | 13 | 6 
910 | Erochevich | Avetis | 48 | 25 
911 | Rozental | Oleg | 47 | 19 
912 | Fischer | Nikita | 36 | 5 
913 | Kornienko | Ekaterina | 10 | 3 
914 | Kot | Alexey | 39 | 16 
915 | Chernych | Sonya | 19 | 6 
916 | Rozental | Alexey | 8 | 5 
917 | Ossa | Avetis | 32 | 11 
918 | Erochevich | Ekaterina | 11 | 11 
919 | Pogrebnyak | Avetis | 15 | 3 
920 | Pogrebnyak | Alexandr | 31 | 12 
921 | Kot | Ekaterina | 26 | 8 
922 | Kot | Nikita | 7 | 5 
923 | Kot | Dmitriy | 24 | 5 
924 | Rozental | Sonya | 33 | 6 
925 | Fischer | Elena | 40 | 19 
926 | Chernych | Artem | 50 | 32 
927 | Chernych | Oleg | 29 | 14 
928 | Kornienko | Sonya | 47 | 12 
929 | Fischer | Sonya | 5 | 5 
930 | Kot | Ekaterina | 19 | 4 
931 | Grechko | Sonya | 15 | 7 
932 | Fischer | Elena | 33 | 31 
933 | Ossa | Oleg | 17 | 15 
934 | Ossa | Vladislav | 38 | 29 
935 | Chernych | Sonya | 23 | 13 
936 | Bobr | Ekaterina | 46 | 4 
937 | Ossa | Artem | 43 | 25 
938 | Rozental | Sonya | 27 | 20 
939 | Ossa | Alexandr | 14 | 9 
940 | Rozental | Valentin | 19 | 15 
941 | Ossa | Valentin | 10 | 8 
942 | Grechko | Sonya | 12 | 4 
943 | Meye | Dmitriy | 10 | 7 
944 | Kot | Alexandr | 44 | 11 
945 | Kornienko | Ekaterina | 30 | 22 
946 | Erochevich | Achmed | 6 | 4 
947 | Bobr | Alexandr | 33 | 8 
948 | Rozental | Ekaterina | 37 | 11 
949 | Fischer | Dmitriy | 50 | 10 
950 | Meye | Vladislav | 20 | 14 
951 | Fischer | Vladislav | 37 | 30 
952 | Chernych | Dmitriy | 43 | 9 
953 | Erochevich | Dmitriy | 15 | 15 
954 | Ossa | Ekaterina | 27 | 26 
955 | Ossa | Achmed | 35 | 19 
956 | Erochevich | Sonya | 13 | 13 
957 | Chernych | Vladislav | 10 | 10 
958 | Bobr | Artem | 39 | 3 
959 | Grechko | Dmitriy | 4 | 4 
960 | Pogrebnyak | Sonya | 37 | 25 
961 | Meye | Ekaterina | 35 | 6 
962 | Fischer | Artem | 49 | 14 
963 | Bobr | Ekaterina | 40 | 15 
964 | Meye | Oleg | 42 | 30 
965 | Erochevich | Oleg | 8 | 8 
966 | Bobr | Avetis | 35 | 29 
967 | Chernych | Elena | 9 | 8 
968 | Erochevich | Ekaterina | 23 | 11 
969 | Fischer | Nikita | 37 | 8 
970 | Kornienko | Elena | 20 | 12 
971 | Fischer | Dmitriy | 10 | 7 
972 | Erochevich | Nikita | 24 | 18 
973 | Meye | Alexandr | 17 | 8 
974 | Grechko | Ekaterina | 22 | 15 
975 | Meuler | Achmed | 38 | 38 
976 | Rozental | Valentin | 43 | 23 
977 | Ossa | Ekaterina | 20 | 16 
978 | Kornienko | Achmed | 29 | 5 
979 | Kornienko | Alexey | 32 | 28 
980 | Kornienko | Alexandr | 5 | 4 
981 | Erochevich | Nikita | 31 | 28 
982 | Erochevich | Oleg | 8 | 6 
983 | Kornienko | Achmed | 11 | 10 
984 | Rozental | Alexandr | 28 | 9 
985 | Meuler | Elena | 29 | 20 
986 | Fischer | Avetis | 27 | 24 
987 | Kornienko | Alexandr | 30 | 25 
988 | Kornienko | Nikita | 48 | 9 
989 | Meye | Avetis | 27 | 9 
990 | Bobr | Elena | 20 | 5 
991 | Pogrebnyak | Artem | 24 | 16 
992 | Rozental | Nikita | 50 | 41 
993 | Ossa | Achmed | 25 | 11 
994 | Grechko | Ekaterina | 5 | 5 
995 | Pogrebnyak | Alexey | 26 | 23 
996 | Kornienko | Alexey | 10 | 4 
997 | Rozental | Alexey | 45 | 7 
998 | Ossa | Achmed | 13 | 10 
999 | Ossa | Valentin | 36 | 7 
